id,fill,category,type,brand,bottle,age,abv,proof,cask,distillery,corp_owner,origin,char_level,mash_bill,tasting_notes
0069,average,American Rye,Straight Rye,Pikesville,Straight Rye,6,50.5%,110°,,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""37"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0070,average,American Rye,Straight Rye,Redwood Empire,Emerald Giant,4,45%,90°,"Blend: multi-source (CA, IN, KY)",Various (Sourced & Blended),Independent,"California, Indiana, Kentucky",(#3),"{""corn"": ""(30)"", ""barley"": """", ""maltedBarley"": ""(13)"", ""rye"": ""(57)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cut grass, spearmint, sandlewood, bar soap, cinnamon, black licorice and some kind of flower, herbal tea"", ""palate"": ""Cinnamon, rye mint all day"", ""finish"": ""Long""}"
0071,average,American Rye,Straight Rye,Rittenhouse,Bottled-in-Bond,4,50%,100°,,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""37"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0072,average,American Rye,Straight Rye,Russell's Reserve,6 yr Rye,6,45%,90°,,Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""37"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0073,average,American Rye,Blend of Straight Rye,Sagamore Spirit,Small Batch,(4-6),46.5%,93°,Blend: 95/5 & 51/45/4 mash bill ryes,Sagamore Spirit Distillery,Independent,Maryland,(#3),"{""corn"": ""0/45"", ""barley"": """", ""maltedBarley"": ""5/4"", ""rye"": ""95/51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cut grass, bar soap, green apple, spearmint, cream soda, honey"", ""palate"": ""Citrus and honey upfront turns into wintergreen certs candy"", ""finish"": ""Long""}"
0074,plenty,American Rye,Straight Rye,Still Austin,Straight Rye,2,49.8%,99.6°,Slow-water élevage (proofed monthly in-barrel),Still Austin Distillery,Independent,Texas,#3,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""20"", ""rye"": ""80"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0075,plenty,American Rye,Straight Rye,Wild Turkey,101,(4-6),50.5%,101°,,Wild Turkey Distillery,Campari,Kentucky,#4,"{""corn"": ""37"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Spearmint, green apple, brown sugar, cinnamon, black licorice. After a sip I get sandlewood."", ""palate"": ""Light fruit up front, baking spice"", ""finish"": ""Short""}"
0076,plenty,American Rye,Straight Rye,Woodenville,Distiller's Pick Single Barrel,(3-5),57.8%,115.7°,"Single cask, hand-filled at distillery; 100% malted rye grain bill (WA grown)",Woodinville Whiskey Co.,Moët Hennessy,Washington,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": """", ""maltedRye"": ""100"", ""wheat"": """"}","{""nose"": ""Lemongrass mint explosion, black cherry gummies, sweet blackberry jam, fruit leather"", ""palate"": ""Sweet dark fruity coffee-like, rye mint spice"", ""finish"": ""Long""}"
0077,average,American Wheat,Straight Wheat,Bernheim,Original,7,45%,90°,,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#3,"{""corn"": ""37"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""51""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0078,plenty,American Wheat,Wheated Straight Bourbon,Maker's Mark,46,(6-7),47%,94°,Finished: seared French oak staves (in-barrel),Maker's Mark Distillery,Beam Suntory,Kentucky,#3,"{""corn"": ""70"", ""barley"": """", ""maltedBarley"": ""14"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""16""}","{""nose"": ""Strawberry nail polish, sweet oak, sugar donut, hazelnut"", ""palate"": ""Metallic fruit, sweet oak, baking spice"", ""finish"": ""Medium""}"
0079,low,American Wheat,Wheated Straight Bourbon,Maker's Mark,,(6),45%,90°,,Maker's Mark Distillery,Beam Suntory,Kentucky,#3,"{""corn"": ""70"", ""barley"": """", ""maltedBarley"": ""14"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""16""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0080,plenty,American Wheat,Wheated Straight Bourbon,Old Fitzgerald,Bottled-in-Bond 7 yr,7,50%,100°,,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#3,"{""corn"": ""68"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""20""}","{""nose"": ""Gingerbread, sweet, red fruit, slight cinnamon, vanilla, caramel corn"", ""palate"": ""Gingerbread, Christmas spice"", ""finish"": ""Medium""}"
0081,low,American Wheat,Wheated Straight Bourbon,Pappy Van Winkle,Old Rip Van Winkle 10 yr,10,53.5%,107°,BT Wheated Mash Bill,Buffalo Trace Distillery,Sazerac / Van Winkle Family,Kentucky,#4,"{""corn"": ""(76)"", ""barley"": """", ""maltedBarley"": ""(4)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0082,plenty,American Wheat,Wheated Straight Bourbon,Rebel,Cask Strength Single Barrel,(4-6),60%,120°,,Lux Row Distillers,MGP Ingredients,Kentucky,#3,"{""corn"": ""(68)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0083,average,American Wheat,Wheated Bourbon,Rebel,Stave Finish Collection Single Barrel,(4-6),55%,110°,Finished: toasted mocha staves (in-barrel),Lux Row Distillers,MGP Ingredients,Kentucky,#3,"{""corn"": ""(68)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0084,plenty,American & Bourbon,Wheated Straight Bourbon,Trader Joe's,Kentucky Best Straight Bourbon,4,40%,80°,Bottled by Lux Row; sourced from Heaven Hill (OFD wheated mash bill),Lux Row Distillers (sourced Heaven Hill),MGP Ingredients,Kentucky,#3,"{""corn"": ""68"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""20""}","{""nose"": ""Musty, grain forward, peanut butter (Evan Williams White Label clone?)"", ""palate"": ""Light watery, nutty, grain, oak"", ""finish"": ""Short to medium""}"
0085,average,American Wheat,Wheated Straight Bourbon,Weller,12 yr,12,45%,90°,BT Wheated Mash Bill,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(76)"", ""barley"": """", ""maltedBarley"": ""(4)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0086,low,American Wheat,Wheated Straight Bourbon,Weller,Special Reserve,(7),45%,90°,BT Wheated Mash Bill,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(76)"", ""barley"": """", ""maltedBarley"": ""(4)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": ""Grain, skunk (in a good way), cantelope, marshmallow cream, fruit stripe gum"", ""palate"": ""Light and floral fruity, mild cinnamon"", ""finish"": ""Short""}"
0087,low,American Wheat,Straight Wheat,Woodford Reserve,Wheat,(6-7),45.2%,90.4°,Triple distilled (pot still),Woodford Reserve Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""20"", ""barley"": """", ""maltedBarley"": ""20"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": ""52""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0088,plenty,American & Bourbon,Straight Bourbon,1792,Small Batch,(5-6),46.9%,93.7°,,Barton 1792 Distillery,Sazerac,Kentucky,#3,"{""corn"": ""(74)"", ""barley"": """", ""maltedBarley"": ""(8)"", ""rye"": ""(18)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0089,average,American & Bourbon,Straight Bourbon,Angel's Envy,Straight Bourbon,(4-6),43.3%,86.6°,"Finished: French oak ruby port barrels (60-gal, 3-6 mo., Portugal)",Louisville Distilling Co.,Bacardi,Kentucky,#3,"{""corn"": ""72"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""18"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0090,low,American & Bourbon,Straight Bourbon,Baker's,Baker's 7 Single Barrel,8.11,53.5%,107°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""77"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0091,average,American & Bourbon,Blend of Straight Bourbons,Barrel,10th Anniversary Blend,8,56.3%,112.6°,"Blend: TN, IN & KY sourced",Various (Sourced & Blended),Independent,"Tennessee, Indiana, Kentucky",(#3),"{""corn"": ""(74)"", ""barley"": """", ""maltedBarley"": ""(10)"", ""rye"": ""(16)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0092,average,American & Bourbon,Straight Bourbon,Blue Note,Single Barrel,(3-4),59.4%,118.8°,,Sourced (MGP / KY),Independent,Kentucky,#3,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": ""(13)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0093,plenty,American & Bourbon,"Blend of Straight Bourbon, Straight Rye, and Malts",Booker's,Little Book Chapter 7: In Retrospect,4-18,59.0%,118.1°,"Blend: 18, 17, 9, 4 year bourbon, 10, 4 year rye, 5 year malt; Finished: applewood smoked barrels",Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""(60)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(25)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0094,average,American & Bourbon,Straight Bourbon,Booker's,2023-02 Apprentice Batch,7,62.8%,125.5°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0095,plenty,American & Bourbon,Straight Bourbon,Buffalo Trace,Benchmark Full Proof,(5-7),62.5%,125°,BT Mash Bill #1,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(10)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cherry fruit pie, hint of apple cider vinegar, cedar chest. After tasting vanilla, cream."", ""palate"": ""Comes in hot with fruit and wood underneath, baking spice backend"", ""finish"": ""Long""}"
0096,plenty,American & Bourbon,Straight Bourbon,Buffalo Trace,Eagle Rare 10 yr,10,45%,90°,BT Mash Bill #1,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(10)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Marshmallow, cherry, red berries, cherry wood, fruit punch. After tasting grape big league chew, sandlewood"", ""palate"": ""Cherry wood. Medium finish"", ""finish"": ""Medium""}"
0097,plenty,American & Bourbon,Straight Bourbon,Buffalo Trace,Stagg Jr. Batch 25B (Winter 2025),(8-10),63.5%,126.9°,BT Mash Bill #1; unfiltered,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(10)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Marshmallow, vanilla, gingerbread, cinnamon candy, brown sugar, mossy oak, sandlewood, grape bubble gum"", ""palate"": ""Oily, cherry, flash of orange creamsicle, oak, warm spice"", ""finish"": ""Medium to Long""}"
0098,extremely-low,American & Bourbon,Straight Bourbon,Buffalo Trace,Stagg Jr. Batch 17 (Fall 2021),(8-10),64.3%,128.7°,BT Mash Bill #1; unfiltered,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(10)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0099,plenty,American & Bourbon,Straight Bourbon,Buffalo Trace,Straight Bourbon,(8-10),45%,90°,BT Mash Bill #1,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(10)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Red berries, grape bubble gum, bar soap, fresh cut fruit wood,"", ""palate"": ""Soft, fluffy, fruity cough syrup, just had Stagg so this feels watery, not quite black pepper but in that direction"", ""finish"": ""Short""}"
0100,extremely-low,American & Bourbon,Straight Bourbon,Colonel E.H. Taylor,Small Batch (Bottled-in-Bond),(7-10),50%,100°,BT Mash Bill #1,Buffalo Trace Distillery,Sazerac,Kentucky,#4,"{""corn"": ""(75)"", ""barley"": """", ""maltedBarley"": ""(15)"", ""rye"": ""(10)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0101,plenty,American Single Malt,American (Scotch-style ale base),Copper Works,Kilt Lifter Whiskey,5,50%,100°,Brewed at Pike Brewing (unhopped Kilt Lifter Scotch ale); multi-malt incl. malted wheat & peated malt,Copper Works Distillery,Independent,Washington,#3,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""(90)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(10)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0102,average,American & Bourbon,Straight Bourbon,Crowded Barrel,Eleanor,3,56.1%,112.2°,Finished: Merlot wine casks,Various (Sourced),Independent,Indiana,(#3),"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""4"", ""rye"": ""21"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0103,low,American & Bourbon,Straight Bourbon,Crowded Barrel,Eleanor,5,59.9%,119.8°,,Various (Sourced),Independent,Indiana,(#3),"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""4"", ""rye"": ""21"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0104,low,American & Bourbon,Straight Bourbon,Early Times,Bottled-in-Bond,4,50%,100°,,Barton 1792 Distillery,Sazerac,Kentucky,#3,"{""corn"": ""(74)"", ""barley"": """", ""maltedBarley"": ""(8)"", ""rye"": ""(18)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0105,plenty,American & Bourbon,Straight Bourbon,Elijah Craig,Small Batch,(8-12),47%,94°,,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Marshmallow, cherry. After tasting sandlewood and musty wood is predominant"", ""palate"": ""Cherry, red fruit turns to a dark fruity spice"", ""finish"": ""Medium""}"
0106,plenty,American & Bourbon,Straight Bourbon,Elijah Craig,Toasted Barrel,(8-12),47%,94°,Finished: toasted barrels,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Marshmallow, cherry, butterscotch, caramel candy, opening an unfinished old wooden jewelry box"", ""palate"": ""Soft red fruit cream, warm oaky baking spice, beautiful classic bourbon"", ""finish"": ""Medium""}"
0107,low,American & Bourbon,Straight Bourbon,Elijah Craig,Barrel Proof A121,12,61.8%,123.6°,"Uncut, unfiltered (Jan 2021 batch)",Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0108,average,American & Bourbon,Straight Bourbon,Elijah Craig,Barrel Proof A123,12,62.8%,125.6°,"Uncut, unfiltered (Jan 2023 batch)",Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0109,average,American & Bourbon,Straight Bourbon,Elijah Craig,Single Barrel,9,68.2%,136.5°,,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0110,average,American & Bourbon,Straight Bourbon,Evan Williams,Bottled-in-Bond,4,50%,100°,,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0111,low,American & Bourbon,Blend of Straight Bourbons,Evernorth Spirits Co.,Night Stalker 02,4.7-7.5,60%,120°,Blend: IN & MD sourced,Various (Sourced),Independent,"Indiana, Maryland",(#3),"{""corn"": ""(74)"", ""barley"": """", ""maltedBarley"": ""(10)"", ""rye"": ""(16)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0112,plenty,American & Bourbon,Straight Bourbon,Four Roses,,(5-7),40%,80°,Blend: OBSV & OESV mash bills,Four Roses Distillery,Kirin,Kentucky,#3,"{""corn"": ""(68)"", ""barley"": """", ""maltedBarley"": ""(5)"", ""rye"": ""(27)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0113,average,American & Bourbon,Straight Bourbon,Green River,Full Proof,(4-6),58.6%,117.3°,,Green River Distillery,Independent,Kentucky,#3,"{""corn"": ""(68)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0114,average,American & Bourbon,Straight Bourbon,Green River,Straight Bourbon,(4-6),45%,90°,,Green River Distillery,Independent,Kentucky,#3,"{""corn"": ""(68)"", ""barley"": """", ""maltedBarley"": ""(12)"", ""rye"": """", ""maltedRye"": """", ""wheat"": ""(20)""}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0115,average,American & Bourbon,Straight Bourbon,Heaven Hill,Bottled-in-Bond,7,50%,100°,,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Grain funk in a good way, marshmallow, cherry, sugar cone, dark chocolate, bar soap"", ""palate"": ""Leather, oak, cinnamon, dark chocolate fudge"", ""finish"": ""Medium""}"
0116,average,American & Bourbon,Straight Bourbon,Heaven's Door,Single Barrel Cask Strength,(4-6),55.3%,110.7°,,Various (Sourced),Independent,Indiana,#3,"{""corn"": ""70"", ""barley"": """", ""maltedBarley"": ""8"", ""rye"": ""22"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0117,average,American & Bourbon,Straight Bourbon,Henry McKenna,Single Barrel 10 yr,10,50%,100°,,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0118,plenty,American & Bourbon,"Blend of Straight Rye, Straight Bourbon, and Blended Malt Scotch Whiskies",High West,Campfire,(5-10),46%,92°,"Blend: straight rye (UT/IN), straight bourbon (IN) & blended malt Scotch",High West Distillery,Constellation Brands,"Utah, Indiana, Kentucky, Scotland",(#3),"{""corn"": ""(45)"", ""barley"": """", ""maltedBarley"": ""(25)"", ""rye"": ""(30)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0119,low,American & Bourbon,Tennessee,Jack Daniel's,Old No. 7,(4-7),40%,80°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""80"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""8"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0120,plenty,American & Bourbon,Tennessee,Jack Daniel's,Single Barrel Barrel Proof,(5-7),64.6%,129.2°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""80"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""8"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0121,extremely-low,American & Bourbon,Tennessee,Jack Daniel's,Single Barrel Barrel Proof,(5-7),64.4%,128.8°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""80"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""8"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0122,plenty,American & Bourbon,Tennessee,Jack Daniel's,Single Barrel Heritage,(5-7),50%,100°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""80"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""8"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Banana cream, toasted marshmallow, cherry cough drop, graham cracker"", ""palate"": ""Citrus, cherry cough syrup, spice, oak, vanilla cream"", ""finish"": ""Long""}"
0123,average,American & Bourbon,Tennessee,Jack Daniel's,Single Barrel Select,(5-7),47%,94°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""80"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""8"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Banana cream, vanilla oreo cookies, marshmallow, cherry cough drop"", ""palate"": ""Banana turns into spice then into the vanilla cookie"", ""finish"": ""Medium""}"
0124,plenty,American & Bourbon,Straight Bourbon,J.T.S. Brown,Bottled-in-Bond,(4-6),50%,100°,,Heaven Hill Distillery (Bernheim),Heaven Hill,Kentucky,#3,"{""corn"": ""78"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""10"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0125,extremely-low,American & Bourbon,Straight Bourbon,Knob Creek,18 yr,18,50%,100°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0126,plenty,American & Bourbon,Straight Bourbon,Knob Creek,12 yr,12,50%,100°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0127,plenty,American & Bourbon,Straight Bourbon,Knob Creek,9 yr,9,50%,100°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Peanuts, vanilla, oak, hint of berries, something sweet and musty, caramel"", ""palate"": ""Citrus, oak, black pepper, spicy peanuts,"", ""finish"": ""Medium""}"
0128,average,American & Bourbon,Straight Bourbon,Knob Creek,9 Single Barrel Reserve,9,60%,120°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Oak, leather, caramel, vanilla, dried red fruit"", ""palate"": ""Citrus, oak, black pepper"", ""finish"": ""Medium to Long""}"
0129,plenty,American & Bourbon,Straight Bourbon,Knob Creek,Blender's Edition 01,10,53%,106°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""75"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""13"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Oak, Caramel, roses and marshmallow when backing nose away, peanut when putting nose in deep, cherry"", ""palate"": ""Oak, sweet caramel and vanilla, very smooth and easy drinking, red berry fruit, floral,"", ""finish"": ""Medium""}"
0130,plenty,American Rye,Blend of Straight Bourbon and Straight Rye,Knob Creek,Bourbon X Rye,7,56.5%,113°,"Blend: 30% 9yr bourbon, 70% 7yr rye",Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""(56)"", ""barley"": """", ""maltedBarley"": ""(10)"", ""rye"": ""(34)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Caramel, butterscotch, butter, marshmallow, lemon, cantelope"", ""palate"": ""Sweet citrus, mint, definitely rye forward after sweet front"", ""finish"": ""Medium""}"
0131,plenty,American & Bourbon,Straight Bourbon,Michter's,Small Batch,(5-7),45.7%,91.4°,Chill filtered,Michter's Distillery (Shively),Chatham Imports,Kentucky,#3,"{""corn"": ""79"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""11"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0132,plenty,American & Bourbon,American,Michter's,American Whiskey,(4-6),41.7%,83.4°,Used American oak; chill filtered,Michter's Distillery (Shively),Chatham Imports,Kentucky,#3,"{""corn"": ""79"", ""barley"": """", ""maltedBarley"": ""10"", ""rye"": ""11"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Peach, floral, laffy taffy. After tasting mild clove, bar soap, vanilla, cut grass"", ""palate"": ""Light and fruity all the way through (maybe some orange, too). After a few tastes, mild spice on backend with vanilla"", ""finish"": ""Short""}"
0133,plenty,American & Bourbon,American,Michter's,Sour Mash,(4-6),43%,86°,Chill filtered,Michter's Distillery (Shively),Chatham Imports,Kentucky,#3,"{""corn"": ""(79)"", ""barley"": """", ""maltedBarley"": ""(10)"", ""rye"": ""(11)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Apricot, floral, sandlewood, light cinnamon, grassy, earthy"", ""palate"": ""Cough medicine, sweet cinnamon candy"", ""finish"": ""Short""}"
